location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Koramangala,12.9368,77.6267,South,Apartment,4,2560,20950,13115,14349,16278,18467,20950,12.05,0,4.8,5.1,37.7,59.74075486084636,28.70131465782037,12.422679751109044,536.32,134.08,640.0,26.349999999999998,0.9134328358208955,0.36867740726863996,0.708255250628132,0.3945652173913043,0.1323076923076923,3,0,19,23506.0,29806.0,37558.0,12.2,42.27,79.27,16.34,33.8,Premium,64,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Whitefield,12.9731,77.7455,East,Builder Floor,4,2540,14650,6355,7474,9354,11706,14650,24.19,1,1.9,15.7,38.7,130.52714398111723,56.61748984391705,23.219805079308742,372.11,93.0275,635.0,53.75,0.5373134328358209,0.823529411764706,0.4803092769194464,0.9902173913043477,0.043076923076923075,1,1,33,18046.0,27359.0,41571.0,23.18,86.75,183.76,31.96,85.4,High Growth,79,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Anjanapura,12.8562,77.5673,South,Apartment,2,1290,6500,4982,5241,5631,6050,6500,6.43,0,12.9,9.5,52.1,30.469690887193895,15.432427632747292,6.87531514775408,83.85,41.925,645.0,11.049999999999999,0.050746268656716415,0.1581116523042338,0.08016491067338524,0.061956521739130424,0.38153846153846155,3,0,0,6947.0,7943.0,9047.0,6.88,22.2,39.18,8.84,25.2,Stable,141,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Nagarbhavi,12.9599,77.5055,West,Apartment,2,1140,6200,5053,5254,5552,5867,6200,6.35,0,16.2,7.1,38.2,22.699386503067483,11.671469740634006,5.247211423553755,70.68,35.34,570.0,14.7,0.03283582089552239,0.1551142750093668,0.06188314662890935,0.14130434782608695,0.48307692307692307,4,0,25,6525.0,7225.0,8000.0,5.24,16.53,29.03,7.29,25.9,Stable,1,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Kengeri,12.9176,77.4821,West,Villa,3,1860,6100,4771,5000,5343,5709,6100,6.12,1,21.0,8.3,44.0,27.85579543072731,14.168070372449934,6.335947361271921,113.46,37.82,620.0,33.0,0.026865671641791045,0.14649681528662423,0.12126764669137549,0.5391304347826087,0.6307692307692307,4,2,18,6484.0,7332.0,8295.0,6.3,20.2,35.98,8.21,36.6,Stable,84,Kengeri offers steady 6.8% annual appreciation. Investment score: 38/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Anjanapura,12.8576,77.5689,South,Apartment,2,1180,6050,4637,4878,5241,5631,6050,6.64,0,11.0,10.5,44.6,30.47228811731723,15.435985498950583,6.875847029361859,71.39,35.695,590.0,16.7,0.023880597014925373,0.16597976770325965,0.06286872388567304,0.18478260869565216,0.3230769230769231,3,0,0,6470.0,7395.0,8459.0,6.94,22.23,39.82,8.92,29.1,Stable,43,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Itpl,12.9851,77.7253,East,Builder Floor,4,2050,11100,7069,7709,8705,9830,11100,13.43,0,1.4,13.9,40.5,57.023624275003534,27.512923607122342,11.941532783337117,227.55,56.8875,512.5,28.35,0.3253731343283582,0.42038216560509556,0.2796401948944322,0.4380434782608696,0.02769230769230769,1,1,14,12433.0,15522.0,19505.0,12.01,39.84,75.72,16.43,45.0,Stable,66,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Bellandur,12.9276,77.6805,East,Builder Floor,2,1290,12800,7623,8422,9683,11133,12800,16.37,0,4.1,12.1,43.5,67.91289518562246,32.19043684808427,13.833742009987237,165.12,82.56,645.0,24.15,0.42686567164179107,0.5305357811914575,0.1929788031482947,0.3467391304347826,0.11076923076923076,1,1,3,14509.0,18922.0,24281.0,13.35,47.83,89.7,19.44,47.1,High Growth,31,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Hulimavu,12.8914,77.6154,South,Builder Floor,3,2110,7400,5350,5692,6212,6780,7400,8.78,0,7.2,8.8,40.3,38.31775700934579,19.12427559562138,8.447484915409786,156.14,52.04666666666666,703.3333333333334,22.650000000000002,0.1044776119402985,0.24615961034095166,0.18051333305570594,0.31413043478260877,0.20615384615384616,3,1,12,8013.0,9420.0,10987.0,8.28,27.3,48.47,11.25,35.2,Stable,51,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Hennur,13.0366,77.6407,North,Builder Floor,3,1370,8800,5907,6376,7099,7904,8800,11.28,0,10.9,7.6,20.6,48.97579143389199,23.961121284687984,10.478794136916015,120.56,40.18666666666667,456.6666666666667,28.799999999999997,0.1880597014925373,0.33982765080554517,0.1311234192590125,0.4478260869565217,0.32,2,1,9,9649.0,11803.0,14408.0,9.65,34.12,63.73,14.17,42.7,Stable,50,Hennur offers steady 11.2% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 64.4%.,0
Bellandur,12.9277,77.6753,East,Apartment,2,1280,13900,8276,9144,10514,12089,13900,13.82,0,4.1,11.2,43.8,67.9555340744321,32.20467947498573,13.840967902512325,177.92,88.96,640.0,24.0,0.4925373134328358,0.4349943799175721,0.21074695650966838,0.34347826086956523,0.11076923076923076,1,0,3,15867.0,20496.0,26466.0,14.15,47.45,90.4,18.42,42.8,Stable,129,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Manyata Tech Park,13.0422,77.6243,North,Apartment,3,1810,11550,7618,8251,9230,10325,11550,12.72,0,0.5,7.5,19.0,51.61459700708847,25.13542795232936,10.964804917181903,209.055,69.685,603.3333333333334,40.0,0.3522388059701492,0.3937804421131511,0.25396660142422856,0.691304347826087,0.0,2,0,22,12777.0,15731.0,19407.0,10.62,36.2,68.03,15.21,48.9,High Potential,18,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Richmond Town,12.9667,77.6063,Central,Villa,3,1330,14700,11497,12049,12875,13757,14700,7.07,1,10.6,3.1,33.7,27.85944159345916,14.174757281553399,6.336705469304427,195.51,65.17,443.3333333333333,47.55,0.5402985074626866,0.18209067066316975,0.23516428601174363,0.8554347826086955,0.31076923076923074,0,2,28,15615.0,17797.0,20038.0,6.22,21.07,36.31,8.59,38.1,Stable,35,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Frazer Town,12.9733,77.6148,Central,Apartment,3,1550,12200,10157,10518,11051,11611,12200,5.57,0,9.6,3.8,32.6,20.11420695087132,10.397249117726902,4.688407766434466,189.1,63.03333333333333,516.6666666666666,24.1,0.39104477611940297,0.12588984638441367,0.2262663279612432,0.34565217391304354,0.27999999999999997,0,0,6,12781.0,14013.0,15322.0,4.76,14.86,25.59,6.47,24.1,Stable,10,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Richmond Town,12.9667,77.5977,Central,Villa,2,1310,14400,11263,11803,12612,13476,14400,7.56,1,10.4,2.7,36.4,27.852259611116043,14.176974310180782,6.335212180230609,188.64,94.32,655.0,46.400000000000006,0.5223880597014925,0.20044960659423006,0.22562778494981883,0.8304347826086957,0.3046153846153846,0,2,28,15337.0,17304.0,19559.0,6.51,20.17,35.83,8.79,38.4,Stable,23,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Jp Nagar,12.9039,77.587,South,Apartment,1,580,9450,6833,7270,7934,8659,9450,9.5,1,9.3,6.0,43.7,38.299429240450756,19.107638013612302,8.44389228339011,54.81,54.81,580.0,43.85,0.22686567164179106,0.2731360059947546,0.03985341273476867,0.7750000000000001,0.2707692307692308,3,0,16,10274.0,12047.0,14159.0,8.72,27.48,49.83,11.53,46.0,Stable,100,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Banashankari,12.935,77.5528,South,Villa,2,1130,7950,6218,6516,6963,7440,7950,6.58,1,9.7,5.1,41.1,27.854615632036023,14.174924601464886,6.33570205474272,89.835,44.9175,565.0,44.75,0.1373134328358209,0.16373173473210942,0.0884729105068088,0.7945652173913043,0.28307692307692306,3,2,1,8461.0,9578.0,10870.0,6.43,20.48,36.73,8.39,42.1,Stable,73,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Manyata Tech Park,13.0446,77.6249,North,Apartment,1,500,11650,7683,8321,9309,10414,11650,11.16,0,0.5,7.4,17.2,51.63347650657295,25.14770652057149,10.968259172575511,58.25,58.25,500.0,40.9,0.3582089552238806,0.33533158486324466,0.04462860395063785,0.7108695652173914,0.0,2,0,22,12987.0,15922.0,19785.0,11.48,36.67,69.83,14.59,47.5,High Potential,68,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Kr Puram,13.0079,77.6993,East,Builder Floor,1,610,9750,5126,5803,6899,8202,9750,21.4,1,7.1,6.2,32.6,90.20678891923527,41.32482968546166,17.43742050439605,59.475,59.475,610.0,51.599999999999994,0.24477611940298508,0.7189958786062195,0.046329071752800564,0.943478260869565,0.20307692307692307,1,1,20,11470.0,15767.0,21736.0,17.64,61.71,122.93,24.99,76.1,High Potential,8,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Manyata Tech Park,13.0483,77.6216,North,Apartment,3,1660,11150,7354,7965,8910,9967,11150,11.18,0,0.5,7.4,17.7,51.6181669839543,25.140291806958476,10.965458116637073,185.09,61.696666666666665,553.3333333333334,40.65,0.3283582089552239,0.3360809291869614,0.22069989866600037,0.7054347826086957,0.0,2,0,22,12372.0,15256.0,18784.0,10.96,36.83,68.47,14.59,47.6,High Potential,65,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Jayanagar,12.9242,77.5942,South,Apartment,3,1860,14900,10472,11203,12320,13549,14900,9.99,1,10.0,3.7,36.3,42.28418640183346,20.941558441558442,9.216727309963835,277.14,92.38,620.0,46.85,0.5522388059701493,0.29149494192581493,0.3484779077999417,0.8402173913043479,0.2923076923076923,3,0,15,16254.0,19396.0,23183.0,9.09,30.17,55.59,12.46,44.2,Stable,49,Jayanagar offers steady 10.0% annual appreciation. Investment score: 44/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 55.4%.,0
Bellandur,12.9238,77.6807,East,Apartment,2,990,12250,7294,8059,9266,10654,12250,15.75,0,3.7,12.0,47.1,67.94625719769674,32.20375566587524,13.83939589342711,121.275,60.6375,495.0,22.75,0.3940298507462687,0.5073061071562383,0.132115937200683,0.31630434782608696,0.09846153846153846,1,0,3,13984.0,18097.0,23492.0,14.16,47.73,91.77,19.19,46.3,High Growth,49,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Rajajinagar,12.9878,77.555,West,Apartment,4,3200,12800,10219,10667,11335,12045,12800,6.82,1,12.6,3.8,31.7,25.25687444955475,12.924569916188796,5.7914068643643235,409.6,102.4,800.0,46.55,0.42686567164179107,0.1727238666167104,0.5323505323505323,0.833695652173913,0.3723076923076923,4,0,26,13557.0,15164.0,17017.0,5.91,18.47,32.95,7.99,38.5,Stable,29,Rajajinagar offers steady 6.3% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 32.6%.,0
Varthur,12.947,77.7494,East,Builder Floor,1,540,6900,4551,4929,5514,6168,6900,13.31,0,3.2,13.9,40.1,51.615029663810155,25.13601741022851,10.964884081092062,37.26,37.26,540.0,26.75,0.07462686567164178,0.41588609966279516,0.01549160871194769,0.4032608695652174,0.08307692307692308,1,1,32,7644.0,9411.0,11597.0,10.78,36.39,68.07,15.45,46.6,Budget,1,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Rt Nagar,13.0156,77.5858,North,Apartment,2,1100,7200,6058,6260,6559,6872,7200,4.1,0,13.2,5.7,26.0,18.851105975569496,9.772831224271993,4.412094280992629,79.2,39.6,550.0,23.8,0.09253731343283582,0.07081303859123267,0.07371007371007371,0.33913043478260874,0.39076923076923076,2,0,29,7522.0,8157.0,8887.0,4.47,13.29,23.43,5.63,26.2,Stable,126,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Richmond Town,12.9618,77.6036,Central,Apartment,3,1560,14400,11263,11803,12612,13476,14400,7.29,1,11.6,2.9,32.5,27.852259611116043,14.176974310180782,6.335212180230609,224.64,74.88,520.0,47.15,0.5223880597014925,0.19033345822405398,0.2756007162786824,0.8467391304347827,0.3415384615384615,0,0,28,15337.0,17303.0,19562.0,6.51,20.16,35.85,8.68,38.4,Stable,23,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Bellandur,12.9265,77.6807,East,Apartment,2,1200,12200,7265,8027,9229,10611,12200,14.21,0,4.1,11.7,41.3,67.92842395044735,32.19200346733124,13.83637378538738,146.4,73.2,600.0,25.25,0.39104477611940297,0.44960659423004873,0.16699287885728564,0.3706521739130435,0.11076923076923076,1,0,3,13915.0,18041.0,23350.0,14.06,47.88,91.39,18.57,45.6,Stable,69,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Jp Nagar,12.9075,77.5817,South,Builder Floor,2,1240,9700,7013,7462,8144,8888,9700,8.71,1,9.3,7.1,38.1,38.3145586767432,19.106090373280942,8.446857999998114,120.28,60.14,620.0,46.650000000000006,0.2417910447761194,0.2435369052079431,0.13073474090423245,0.8358695652173914,0.2707692307692308,3,1,16,10499.0,12345.0,14535.0,8.24,27.27,49.85,11.22,46.3,Stable,89,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Devanahalli,13.2489,77.7141,North,Apartment,2,1100,8700,4677,5272,6230,7362,8700,16.03,0,28.6,8.0,7.8,86.01667735728032,39.64686998394863,16.78524352358819,95.7,47.85,550.0,26.1,0.18208955223880596,0.5177969276882728,0.09661433390246948,0.3891304347826087,0.8646153846153847,2,0,4,10174.0,13876.0,18873.0,16.94,59.49,116.93,22.2,55.3,High Growth,124,Devanahalli is among the fastest appreciating micro-markets with 18.2% YoY growth. Investment score: 58/100. Projected 3-year ROI: 59.2%. Ideal for growth-oriented investors with a medium horizon.,0
Kengeri,12.913,77.4808,West,Apartment,2,1280,5650,4420,4632,4949,5288,5650,6.46,1,19.9,8.4,39.4,27.828054298642535,14.164477672257023,6.330178910187878,72.32,36.16,640.0,35.400000000000006,0.0,0.15923566878980894,0.06415969127833533,0.5913043478260871,0.5969230769230769,4,0,18,6013.0,6794.0,7681.0,6.42,20.25,35.95,8.34,38.8,Stable,28,Kengeri offers steady 6.8% annual appreciation. Investment score: 38/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Sarjapur Road,12.9054,77.6837,East,Apartment,1,460,11950,7233,7966,9119,10439,11950,15.66,0,4.2,11.1,40.1,65.21498686575418,31.04507073143985,13.373710387160687,54.97,54.97,460.0,25.75,0.3761194029850746,0.5039340576995129,0.04007551465178583,0.3815217391304348,0.11384615384615385,1,0,30,13532.0,17376.0,22246.0,13.24,45.41,86.16,18.71,47.3,High Growth,9,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Nagarbhavi,12.9661,77.4985,West,Apartment,2,910,6650,5420,5635,5955,6293,6650,5.37,0,17.6,6.4,45.5,22.693726937269375,11.670864819479428,5.245997758517573,60.515,30.2575,455.0,9.649999999999999,0.05970149253731343,0.11839640314724617,0.04777273421341218,0.03152173913043477,0.5261538461538462,4,0,25,7010.0,7770.0,8547.0,5.41,16.84,28.53,6.9,21.4,Stable,134,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Sarjapur Road,12.9039,77.682,East,Apartment,3,1990,12400,7507,8267,9463,10832,12400,12.65,0,4.8,13.0,40.5,65.17916611162914,31.036669132410438,13.367564664377563,246.76,82.25333333333333,663.3333333333334,24.95,0.40298507462686567,0.39115773698014245,0.3063063063063063,0.3641304347826087,0.1323076923076923,1,0,30,14054.0,18077.0,23150.0,13.34,45.78,86.69,17.5,42.5,Stable,120,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Indiranagar,12.9796,77.6426,East,Villa,4,2700,20400,13696,14783,16458,18323,20400,11.0,1,6.7,4.3,36.5,48.94859813084112,23.951877506379876,10.473752228818455,550.8,137.7,675.0,50.05,0.8805970149253731,0.3293368302735107,0.7283554741181859,0.9097826086956521,0.19076923076923077,1,2,13,22586.0,27534.0,33554.0,10.72,34.97,64.48,14.05,43.6,Premium,110,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Hsr Layout,12.9127,77.6423,South,Builder Floor,2,990,13950,8107,9000,10416,12054,13950,17.93,0,6.2,7.6,44.6,72.07351671395091,33.92857142857143,14.532438844269336,138.105,69.0525,495.0,21.5,0.4955223880597015,0.5889846384413638,0.15547828259692667,0.2891304347826087,0.1753846153846154,3,1,11,16030.0,20992.0,27599.0,14.91,50.48,97.84,20.74,47.8,High Growth,23,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
